long_name;short_name;author;organization
"""Шедевры живописи и гравюры эпохи Эдо"". выставка (2018; Москва).   Шедевры живописи и гравюры эпохи Эдо = Masterpieces of Edo Paintings and Prints : [каталог] / авторы статей: Тадзава Хироёси, Галина Шишкина, Айнура Юсупова. - М., 2018. - 346, [1] с. : ил. ; 28 см. - Библиогр.: с. 339-343. - ISBN 978-5-4330-0098-8.";Шедевры живописи и гравюры эпохи Эдо;;
"Бобровницкая, Ирина Акимовна.   Шапка Мономаха / И.А. Бобровницкая. - М. : Московский Кремль, 2018. - 59 c. : ил. ; 21х21 см. - (История одного шедевра / Музеи Московского Кремля). - ISBN 978-5-88678-328-5.";Шапка Мономаха;Бобровницкая И.А.;
"Данто, Артур.   Что такое искусство? = What Art is / А. Данто ; пер. Е. Куровой. - М. : Ад Маргинем Пресс, 2018. - 167 с. : ил. ; 19 см. - Библиогр.: с. 164-165. - ISBN 978-5-91103-397-2.";Что такое искусство?;Данто А.;
"Крылов, Алексий Сергеевич.   Чесменская победа / А.С. Крылов. - СПб. : Тускарора, 2018. - 352 с. : ил. ; 28 см. - Библиогр. в примеч. - ISBN 978-5-6041035-8-6.";Чесменская победа;Крылов А.С.;
"   Христианское искусство XIII-XIX веков из музеев Болгарии : [каталог] / куратор выставки: Елена Саенкова . - М. : ГТГ, 2018. - 144 с. : ил. ; 34 см. - Библиогр.: с. 134-138. - Гос. Третьяковская галерея (Москва): 29.06.- 02.09. 2018. - ISBN 978-5-89580-221-2.";Христианское искусство XIII-XIX веков из музеев Болгарии;;Гос. Третьяковская галерея (Москва): 29.06.- 02.09. 2018
"Государственная Третьяковская галерея (Москва).   Храм-музей Святителя Николая в Толмачах : Путеводитель /  ; Г.В. Сидоренко. - М. : Государственная Третьяковская галерея, 2018. - 72 с. : ил. ; 18 см. - Библиогр.: с. 70. - ISBN 978-5-89580-209-0.";Храм-музей Святителя Николая в Толмачах;;
"Величко, Алексей Михайлович.   Фотографы земли Белорусской, 1850-1918 / А.М. Величко. - Минск : Змицер Колас, 2018. - 351 с. : ил. ; 29 см. - Библиогр.: с. 351. - ISBN 978-985-7164-83-7.";Фотографы земли Белорусской, 1850-1918;Величко А.М.;
"""Фантазии в нитях. Кружево и стекло Западной Европы XVI-XIX веков"". выставка (2018; Санкт-Петербург).   Фантазии в нитях : Кружево и стекло Западной Европы XVI-XIX вв. / курат. и авт. вступ. ст.  Е.А. Анисимова, Т.Н. Косоурова. - СПб. : Издательство Государственного Эрмитажа, 2018. - 207 с. : ил. ; 25 см. - Библиогр.: с. 202-203. - Гос. Эрмитаж (С.-Петербург): 20 февр. - 26 авг. 2018. - ISBN 978-5-93572-771-0.";Фантазии в нитях;;Гос. Эрмитаж (С.-Петербург): 20 февр. - 26 авг. 2018
"""Уильям Генри Фокс Тальбот. У истоков фотографии"". выставка (2018; Москва).   Уильям Генри Фокс Тальбот. У истоков фотографии / авт. ст. О. Аверьянова, Р. Робертс, Г. Хобсон. - М. : ГМИИ им. А.С. Пушкина, 2018. - 227 с. : ил. ; 22 см. - ГМИИ им. А.С. Пушкина (Москва): 6 фев. - 8 апр. 2018. - ISBN 978-5-4330-0107-7.";Уильям Генри Фокс Тальбот. У истоков фотографии;;ГМИИ им. А.С. Пушкина (Москва): 6 фев. - 8 апр. 2018
"   Страна Удэхе : История утраченной рукописи / руководитель: А.В. Петрук; этнограф: В.В. Кавецкая; исследователь: И.Н. Егорчев. - Владивосток : Приморский государственный объединенный музей имени В.К. Арсеньева, 2018. - 135 с. : ил. ; 27 см. - Библиогр.: с. [134].";Страна Удэхе;;
"""Стражи времени. Керамическая скульптура Древнего Китая"". выставка (2018-2019; Москва).   Стражи времени : Керамическая скульптура Древнего Китая : [кат. выст.] / курат. выст. М. Меньшикова, К. Вязовикина. - М. : ИД РИП-холдинг, 2018. - [72 c.] : ил. ; 30 см. - Библиогр. в подстр. примеч. - ГМИИ им. А.С. Пушкина (Москва): 5 дек. 2018 - 10 февр. 2019. - ISBN 978-5-903190-98-0.";Стражи времени;;ГМИИ им. А.С. Пушкина (Москва): 5 дек. 2018 - 10 февр. 2019
"Бакштейн, Иосиф Маркович.   Статьи и диалоги / И.М. Бакштейн. - М. : Ад Маргинем Пресс, 2018. - 271 с. : ил. ; 24 см. - Библиогр. в подстр. примеч. - ISBN 978-5-91103-396-5.";Статьи и диалоги;Бакштейн И.М.;
"Жерихина, Елена Игоревна.   Старый Новый год / Е.И. Жерихина. - СПб. : Аврора, 2018. - 64 с. : ил. ; 18 см. - (Библиотека ""Авроры"" ; [18]). - Библиогр.: с. 64. - ISBN 978-5-7300-0941-7.";Старый Новый год;Жерихина Е.И.;
"Сальгадо, Себастьян.   Соль земли : Автобиография одного из величайших фотографов современности, фильм о котором номинирован на ""Оскар"" / Себастьян Сальгадо в соавторстве с Изабель Франк  ; пер. с фр. Т. Михайловой. - М. : РИПОЛ классик, 2018. - 160 с., [8] л. ил. ; 25 см. - Перевод: Sebastião Salgado avec Isabelle Francq ""De ma terre a la terre"" . - ISBN 978-5-386-08350-2.";Соль земли;Сальгадо С.;"Перевод: Sebastião Salgado avec Isabelle Francq ""De ma terre a la terre"" "
"Матвеев, Владимир Юрьевич.   Солнечные, лунные и звездные часы в собрании Государственного Эрмитажа / В. Ю. Матвеев. - СПб. : Издательство Государственного Эрмитажа, 2018. - 239 с. : ил. ; 31 см. - Библиогр.: с. 228-233. - ISBN 978-5-93572-768-0.";Солнечные, лунные и звездные часы в собрании Государственного Эрмитажа;Матвеев В. Ю.;
"""Скульпторы и Livre d' Artiste"". выставка (2018; Москва).   Скульпторы и Livre d' Artiste : Арман, Арп, Гино, Джакометти, Колдер, Лоранс, Майоль, Марини, Мур, Паладино, Помодоро, Роден, Чильида, Христо, Цадкин : [Каталог] / сост. Б. Фридман. - М. : just design, 2018. - 295 с. : ил. ; 29 см. - Библиогр.: с.294-295. - ГМИИ им. А.С. Пушкина (Москва): 26 апреля - 3 сентября 2018. - ISBN 978 5  6040125 1 2.";Скульпторы и Livre d' Artiste;;ГМИИ им. А.С. Пушкина (Москва): 26 апреля - 3 сентября 2018
"""Скульптор Паоло Трубецкой"". выставка (2018; Москва).   Скульптор Паоло Трубецкой : [Каталог выставки] / [куратор выст.: И.Ф. Красникова ; отв. ред.: Т.Л. Карпова]. - М. : Государственная Третьяковская галерея, 2018. - 135 с. : ил., портр. ; 29 см. - Государственная Третьяковская галерея (Москва): 22 июня - 26 августа 2018. - ISBN 978-5-89580-217-5.";Скульптор Паоло Трубецкой;;Государственная Третьяковская галерея (Москва): 22 июня - 26 августа 2018
"""Сказание о граде Свияжске"". выставка (2018; Москва).   Сказание о граде Свияжске : [каталог выставки] / курат. выст., авт. вступ. ст. Т.Е. Самойлова. - М. : Б.и., 2018. - 256 с. : ил. ; 29 см. - Библиогр.: с. 242 - 248. - Гос. Третьяковская галерея (Москва): 21 февр. -  20 мая 2018. - Каталог и резюме парал англ. - ISBN 978-5-89580-196-3.";Сказание о граде Свияжске;;Гос. Третьяковская галерея (Москва): 21 февр. -  20 мая 2018
"Шама, Саймон.   Сила искусства / С. Шама ; пер. с англ. Л. Высоцкого, О. Якименко. - СПб. : Азбука, 2018. - 480 с. : ил. ; 24 см. - Библиогр.: с. 472-476. - ISBN 978-5-389-10907-0.";Сила искусства;Шама С.;
"Чернышова-Мельник, Наталия Дмитриевна.   Сергей Дягилев - редактор, публицист и критик / Н.Д. Чернышова-Мельник. - СПб. : Алетейя, 2018. - 464 с., [14] л. ил. : ил. ; 25 см. - Библиогр.: с. 239-258. - ISBN 978-5-907030-84-8.";Сергей Дягилев - редактор, публицист и критик;Чернышова-Мельник Н.Д.;
"Ворагинский, Иаков.    Золотая легенда / Иаков Ворагинский ; перевод с английского, вступительная статья и примечания В. Г. Рохмистрова. - СПб. : Издательство ""Пальмира"", 2016-. - 21 см.   Часть 2 : Святые жены. -  2018. - 320 с. - ISBN 978-5-521-00220-7.";Святые жены;Ворагинский И.;
"Садков, Вадим Александрович.   Самый ранний Рембрандт : Открытие картин из цикла ""Пять чувств"" / Вадим Садков. - М. : Арт-Волхонка, 2018. - 120 c. : ил. ; 18 см. - ISBN 978-5-906848-75-8.";Самый ранний Рембрандт;Садков В.А.;
"""Русская резная кость XVIII-XIX веков из коллекции семьи Карисаловых"". выставка (2018; Москва).   Русская резная кость XVIII-XIX веков из коллекции семьи Карисаловых : Каталог выставки / сост. Н.О. Крестовская ; авт. вступ. ст. О.Б. Стругова. - М. : Издательский дом Руденцовых, 2018. - 542 с. : ил. ; 34 см. - Библиогр.: с. 541. - Гос. Исторический музей (Москва): 28 марта - 20 мая 2018. - ISBN 978-5-902887-35-5 .";Русская резная кость XVIII-XIX веков из коллекции семьи Карисаловых;;Гос. Исторический музей (Москва): 28 марта - 20 мая 2018
"   Россия глазами иноземцев : Россия в графике западноевропейских художников : альбом-каталог /  ; авт.-сост. С.Г. Николаева. - СПб. : Государственный музей истории религии, 2018. - 123 с. : ил. ; 25 см. - Библиогр.: с. 123. - ISBN 978-5-4465-1918-7.";Россия глазами иноземцев;;
"""Романовы. Семейные хроники"". выставка (2018; Москва).   Романовы. Семейные хроники : [Альбом] / [отв. ред. Т. Л. Карпова]. - М. : Государственная Третьяковская галерея, 2018. - 99 с. : ил. ; 22х24 см. - (Третьяковская галерея открывает свои запасники). - Государственная Третьяковская галерея, Крымский вал, 10 (Москва): 13 сентября - 28 октября 2018. - ISBN 978-5-89580-232-8.";Романовы. Семейные хроники;;Государственная Третьяковская галерея, Крымский вал, 10 (Москва): 13 сентября - 28 октября 2018
"Степанова, Светлана Степановна.   Рим - русская мастерская : Очерки о колониии русских художников 1830-1850-х годов / С.С. Степанова, А.А. Погодина. - М. : Буксмарт, 2018. - 454 с., [102] л. цв. ил. ; 27 см. - ISBN 978-5-906190-76-5.";Рим - русская мастерская;Степанова С.С.;
"Лоос, Адольф.   Почему мужчина должен быть хорошо одет : Некоторые разоблачения модных облачений / А. Лоос ; пер. с нем. Э. Венгеровой. - М. : Strelka Press, 2018. - 115 с. : портр. ; 19 см. - ISBN 978-5-906264-74-9.";Почему мужчина должен быть хорошо одет;Лоос А.;
"Голубева, Ольга Леонидовна.   Постскриптум : учитель и ученики : пособие / О.Л. Голубева. - М. : Издательство В.Шевчук, 2018. - 112 с. : ил. ; 22 см. - ISBN 978 0 94232 126 0 .";Постскриптум;Голубева О.Л.;
"   Петрус ван Схендел 1806-1870 : Жизнь и творчество художника = Petrus van Schendel : The Life and Work of the Artist / М.А. Костыря ; сост. М.А. Костыря, О.Ю. Лосич ; [пер. с нидерл. А.А. Яковлева, Н.А. Возненко, И.А. Бассина; пер. с фр. В.Г. Бондарчук]. - СПб. : Издатель Игорь Минаков, 2018. - 251 c. : ил. ; 33 см. - ISBN 978-5-6041035-4-8.";Петрус ван Схендел 1806-1870 : Жизнь и творчество художника;;
"   Петр Митурич 1887-1956 : Графика, живопись, проекты : [альбом] / сост. С.В. Митурич. - М. : Три Квадрата, 2018. - 368 с. : ил. ; 30 см. - Библиогр.: с. 357-359. - ISBN 978-5-94607-215-1.";Петр Митурич 1887-1956;;
"Крапивина, Елена Матвеевна.   Патанька. Елена Григорьевна Михайлова (Николаева). 1903-1986 : Статьи. Рисунки. Письма. Воспоминания / Е.М. Крапивина, Н. Мислер. - СПб. : KGallery , 2018. - 55 c. : ил., портр. ; 29 см. - В общей коробке с инв.№164248. - ISBN 978-5-6041741-4-2.";Патанька. Елена Григорьевна Михайлова (Николаева). 1903-1986;Крапивина Е.М.;В общей коробке с инв.№164248
   Панорама искусств  : Альманах . - Москва : Паулсен, 2017 -. - 22 см.   Вып. 2 : Панорама искусств : альманах № 2. -  2018. - 551 с. : ил. - Библиогр. в постат. примеч.;Панорама искусств;;
"Боровская, Наталья Федоровна.   Очерки по истории христианского искусства / Н.Ф. Боровская. - М. : Буксмарт, 2018. - 176 с. : ил. ; 25 см. - ISBN 978-5-906190-96-3.";Очерки по истории христианского искусства;Боровская Н.Ф.;
"""От Тьеполо до Каналетто и Гварди"". выставка (2018-2019; Москва /Виченца).   От Тьеполо до Каналетто и Гварди. Москва - Виченца = Da Tiepolo a Canaletto e Guardi. Mosca - Vicenza : [Каталог] / науч. ред.: Виктория Маркова, Джованни Кардо, Федерико Вилла. - М. : Арт-Волхонка, 2018. - 199 с. : ил. ; 26 см. - Библиогр.: с. 195-199. - ГМИИ им. А.С. Пушкина (Москва): 24.07.-14.10.2018. - Палаццо Кьерикати, Палаццо Леони Монтанари (Виченца): 30.10.2018 - 20.01.2019. - ISBN 978-5-90684-880-2.";От Тьеполо до Каналетто и Гварди. Москва - Виченца;;ГМИИ им. А.С. Пушкина (Москва): 24.07.-14.10.2018
"   От классической античности до модерна : Сборник статей Сектора классического искусства Запада : посв. памяти Михаила Яковлевича Либмана (1920-2010) / сост. и отв. ред. Е.В. Шидловская. - М. : Государственный институт искусствознания, 2018. - 439 с. : ил. ; 25 см. - Библиогр. в подстр. примеч. - ISBN 978-5-98287-124-4.";От классической античности до модерна;;
"Лэнг, Оливия.   Одинокий город : Упражнения в искусстве одиночества : пер. с англ. / О. Лэнг. - М. : Ад Маргинем Пресс, 2018. - 351 с. : ил. ; 19 см. - Библиогр.: с. 339-347. - ISBN 978-5-91103-418-4.";Одинокий город;Лэнг О.;
"Глебова, Ольга Сергеевна.   Общество русских акварелистов. 1880-1918 : [справочник] / автор-составитель О. С. Глебова. - М. : Арт-Волхонка, 2018. - 551 с. : ил. ; 27 см. - ISBN 978-5-906848-51-2.";Общество русских акварелистов. 1880-1918;Глебова О.С.;
"Сонтаг, Сьюзен.   Образцы безоглядной воли : пер. с англ. / С. Сонтаг. - М. : Ад Маргинем Пресс, 2018. - 311 с. ; 20 см. - ISBN 978-5-91103-432-0.";Образцы безоглядной воли;Сонтаг С.;
"Раш, Майкл.   Новые медиа в искусстве / М. Раш ; Д. Панайотти. - М. : Ад Маргинем Пресс, 2018. - 255 с. : ил. ; 20 см. - Библиогр.: с. 248-249. - ISBN 978-5-91103-431-3.";Новые медиа в искусстве;Раш М.;
"""Николай Никогосян. Уходящая классика"". выставка (2018; Москва).   Николай Никогосян. Уходящая классика : 100-летию мастера посвящается : [Каталог выставки] / Составитель М.Н. Никогосян ; авторы статей М.Н. Никогосян, О.Е. Русанова. - М. : Галерея Нико, 2018. - 231 c. : ил. ; 28 см. - Третьяковская галерея (Москва): 2 марта - 22 апреля 2018. - ISBN 978-5-00028-183-3.";Николай Никогосян. Уходящая классика;;Третьяковская галерея (Москва): 2 марта - 22 апреля 2018
"""Николай Кульбин"". выставка (2018; Санкт-Петербург).   Николай Кульбин : [кат. выст.] / авт. ст. Ю. Солонович ; сост. И. Золотинкина [и др.]. - СПб. : Palace Editions, 2018. - 120 c. : ил. ; 23 см. - (Гос. Русский музей: Альманах ; Вып. 521). - Библиогр. в постат. примеч. и в тексте. - Гос. Русский музей (С.-Петербург): 23 авг.—22 окт. 2018. - ISBN 978-5-93332-608-3.";Николай Кульбин;;Гос. Русский музей (С.-Петербург): 23 авг.—22 окт. 2018
"Фуко, Мишель.   Надзирать и наказывать : Рождение тюрьмы / Мишель Фуко ; пер.: Владимир Наумов. - М. : Ад Маргинем Пресс, 2018. - 383 с., [16] л. ил. ; 20 см. - ISBN 978-5-91103-430-6.";Надзирать и наказывать;Фуко М.;
"Майстровская, Мария Терентьевна.   Музей как объект культуры : ХХ век : Искусство экспозиционного ансамбля / М.Т. Майстровская ; Московская государственная художественно-промышленная академия им. С.Г. Строганова; НИИ РАХ. - М. : Прогресс-Традиция, 2018. - 678, [1] с. : ил. ; 30 см. - Библиогр.: с. 677-[679]. - ISBN 978-5-89826-508-3 .";Музей как объект культуры : ХХ век;Майстровская М.Т.;
"""Михай Мункачи"". выставка (2018; Санкт-Петербург).   Михай Мункачи : [каталог выставки] / курат. М.А. Аникин, М. Гергей, Э. Плесниви. - СПб. : Издательство Государственного Эрмитажа, 2018. - 119 с. : ил. ; 28 см. - Библиогр. в подстр. примеч. - Гос. Эрмитаж (С.-Петербург): 24 апр. - 29 июля 2018. - ISBN 978-5-93572-780-2.";Михай Мункачи;;Гос. Эрмитаж (С.-Петербург): 24 апр. - 29 июля 2018
"Семёнова, Наталья Юрьевна.   Михаил и Иван Морозовы : Коллекции / Н.Ю. Семёнова ; сост. каталога коллекций Наталия Семёнова и Мария Сокологорская. - М. : Слово, 2018. - 640 с. : ил. ; 31 см. - Библиогр.: с.638. - В коробке. - ISBN 978-5-387-01520-5.";Михаил и Иван Морозовы;Семёнова Н.Ю.;В коробке
"Булгаков, Михаил Афанасьевич.   Мастер и Маргарита / М.А. Булгаков ; ил. Г.В. Калиновского. - СПб. : Азбука, 2018. - 480 с. : ил. ; 24 см. - ISBN 978-5-389-08363-9.";Мастер и Маргарита;Булгаков М.А.;
"Ди Джакомо, Джузеппе.   Малевич : Живопись и философия от абстракционизма до минимализма / Д. Ди Джакомо ; пер. с ит. П.Б. Дроздовой. - СПб. : Алетейя, 2018. - 246 с., [4] л. ил. : ил. ; 25 см. - (Независимый альянс). - ISBN 978-5-907115-21-7.";Малевич;Ди Джакомо Д.;
"   Мазолино / авт. текста Ю.А. Астахов. - М. : Белый город : Воскресный день, 2018. - 96 с. : ил. ; 30 см. - ISBN 978-5-7793-4706-8.";Мазолино;;
"Российская академия наук.   Леонид Андреевич Беляев / сост. П.Г. Гайдуков, Л.А. Калашникова  ; авт. вступ. ст. Н.А. Макаров, П.Г. Гайдуков. - М. : Наука, 2018. - 132 с., [1] л. портр. : ил. ; 17 см. - (Материалы к биобиблиографии ученых ; Вып. 42 : История). - ISBN 978-5-02-040106-8.";Леонид Андреевич Беляев;;
"Ворагинский, Иаков.    Золотая легенда = Legenda Aurea /  Иаков Ворагинский ; пер. с латинского И.И. Аникьев, И.В. Кувшинская. - М. : Издательство Францисканцев, 2018-. - 25 см.   Том 1 : Легенда о Святых = Legenda Sanctorum. -  2018. - 527 с. - Библиогр.: с. 514-524. - ISBN 978-5-89208-137-5.";Легенда о Святых;Ворагинский И.;
"""Лангобарды. Народ, изменивший историю"". выставка (2018; Санкт-Петербург).   Лангобарды : Народ, изменивший историю : кат. выст. / курат. Ф. Марацци, Дж.П. Броджиоло, А.Г. Фурасьев. - СПб. : Издательство Государственного Эрмитажа, 2018. - 463 с. : ил. ; 28 см. - Библиогр. в постат. примеч. - Гос. Эрмитаж (С.-Петербург): 3 мая - 15 июля 2018. - ISBN 978-5-93572-783-3.";Лангобарды;;Гос. Эрмитаж (С.-Петербург): 3 мая - 15 июля 2018
"""Кузьма Сергеевич Петров-Водкин. К 140-летию со дня рождения"". выставка (2018; Санкт-Петербург).   Кузьма Сергеевич Петров-Водкин : К 140-летию со дня рождения : [кат. выст.] / авт. ст. О. Мусакова, Н. Козырева. - СПб. : Palace Editions, 2018. - 207 с. : ил. ; 33 см. - (Гос. Русский музей: Альманах ; Вып. 524). - Библиогр. в постат. примеч. - Гос. Русский музей (С.-Петербург): 24 мая—20 авг. 2018. - ISBN 978-5-93332-607-6.";Кузьма Сергеевич Петров-Водкин;;Гос. Русский музей (С.-Петербург): 24 мая—20 авг. 2018
"Адаскина, Наталия Львовна.   Кузьма Петров-Водкин / Н.Л. Адаскина. - М. : Государственная Третьяковская галерея, 2018. - 48 c. : ил. ; 29 см. - (Художник в Третьяковской галерее ; [14]). - Библиогр. в подстр. примеч. - ISBN 978-5-89580-215-1.";Кузьма Петров-Водкин;Адаскина Н.Л.;
"Рид, Герберт.   Краткая история современной живописи : пер. с англ. / Г. Рид. - М. : Ад Маргинем Пресс, 2018. - 359 с. : ил. ; 20 см. - ISBN 978-5-91103-428-3.";Краткая история современной живописи;Рид Г.;
"Рыбаков, Николай Иосифович.   Космогоническое странствие = Cosmogonic wandering : [альбом-каталог] / Н.И. Рыбаков. - Красноярск : ООО ПК ""Ситалл"", 2018. - 200 c. : ил. ; 31 см. - Музейно-выставочный комплекс РАХ (Москва): 31.01.- 25.02.2018. - В футляре. - ISBN 978-5-98708-079-5.";Космогоническое странствие;Рыбаков Н.И.;Музейно-выставочный комплекс РАХ (Москва): 31.01.- 25.02.2018
"Крупницкая, Ирина Фияловна.   Композиция на тему Петрушки : Жизнь и творчество художника Александра Тихомирова / И.Ф. Крупницкая. - М. : Maier, 2018. - 368 с. : ил. ; 25 см. - Библиогр.: с. 358-362. - ISBN 978 5 9500787 0 5.";Композиция на тему Петрушки;Крупницкая И.Ф.;
"   Коллекция индийских хромолитографий из собрания И.П. Ювачева /  ; авт.-составитель Е.В. Столярова. - СПб. : Государственный музей истории религии, 2018. - 86 с. : ил. ; 25 см. - ISBN 978-5-4465-1917-0.";Коллекция индийских хромолитографий из собрания И.П. Ювачева;;
"Жерихина, Елена Игоревна.   Коллекционеры и собиратели / Е.И. Жерихина. - СПб. : Аврора, 2018. - 64 с. : ил. ; 18 см. - (Библиотека ""Авроры"" ; [12]). - Библиогр.: с. 63. - ISBN 978-5-7300-0935-6.";Коллекционеры и собиратели;Жерихина Е.И.;
"Ле Корбюзье.   Когда соборы были белыми  : Путешествие в край нерешительных людей / Ле Корбюзье ; авт. предисл. Ж.-Л. Коэн. - М. : Ад Маргинем Пресс, 2018. - 359 с. : ил. ; 19 см. - ISBN 978-5-91103-412-2.";Когда соборы были белыми ;Ле Корбюзье;
